text,intent,response
"How do I know if I have stomach ulcer?",symptom_check,"Stomach ulcer symptoms include burning stomach pain, bloating, heartburn, nausea, and sometimes vomiting blood."
"What are the signs of arthritis?",symptom_check,"Arthritis signs include joint pain, swelling, stiffness, reduced range of motion, and tenderness."
"What are the symptoms of sinus infection?",symptom_check,"Sinus infection symptoms include facial pain or pressure, nasal congestion, runny nose, headache, and sometimes fever."
"How can I tell if I have lactose intolerance?",symptom_check,"Symptoms include bloating, diarrhea, gas, and abdominal cramps after consuming dairy products."
"What are the warning signs of depression?",symptom_check,"Depression signs include persistent sadness, loss of interest, fatigue, changes in sleep or appetite, and difficulty concentrating."
"How do I know if I have anxiety disorder?",symptom_check,"Anxiety disorder symptoms include excessive worry, restlessness, rapid heartbeat, sweating, and difficulty concentrating."
"What are the signs of an ear infection?",symptom_check,"Ear infection symptoms include ear pain, fluid drainage, hearing loss, and sometimes fever."
"What are the symptoms of bronchitis?",symptom_check,"Bronchitis symptoms include persistent cough, mucus production, fatigue, shortness of breath, and mild fever."
"How do I recognize if I have eczema?",symptom_check,"Eczema symptoms include red, itchy, dry, and inflamed skin patches."
" What are the early symptoms of Parkinson’s?",symptom_check,"Early Parkinson's symptoms include tremors, slow movement, stiffness, balance problems, and changes in handwriting or speech."
"How do I know if I have Alzheimer’s?",symptom_check,"Alzheimer's symptoms include memory loss, confusion, difficulty planning or solving problems, and changes in mood or behavior."
" What are the signs of dengue fever?",symptom_check,"Dengue fever signs include sudden high fever, severe headache, pain behind the eyes, joint and muscle pain, rash, and mild bleeding."
" What are the symptoms of jaundice?",symptom_check,"Jaundice symptoms include yellowing of the skin and eyes, dark urine, fatigue, and abdominal pain."
" How do I recognize stomach infection?",symptom_check,"Stomach infection symptoms include nausea, vomiting, diarrhea, abdominal cramps, and sometimes fever."
" What are the signs of tonsillitis?",symptom_check,"Tonsillitis symptoms include sore throat, difficulty swallowing, red and swollen tonsils, fever, and swollen lymph nodes."
" How do I know if I have hernia?",symptom_check,"Hernia symptoms include a visible bulge in the abdomen or groin, discomfort or pain when lifting or bending, and weakness at the affected area."
" What are the symptoms of gallstones?",symptom_check,"Gallstones may cause sudden and intense abdominal pain, nausea, vomiting, bloating, and sometimes jaundice."
" What are the warning signs of heart disease?",symptom_check,"Heart disease warning signs include chest pain, shortness of breath, fatigue, irregular heartbeat, dizziness, and swelling in legs or feet."
" How do I know if I have asthma attack?",symptom_check,"Asthma attack symptoms include severe shortness of breath, wheezing, chest tightness, and difficulty speaking."
" What are the symptoms of pneumonia in children?",symptom_check,"Symptoms include cough, fever, rapid breathing, chest pain, and sometimes vomiting or fatigue."
" What are the first signs of meningitis?",symptom_check,"Early meningitis signs include sudden fever, severe headache, stiff neck, nausea, vomiting, and sensitivity to light."
" How do I know if I have eye infection?",symptom_check,"Eye infection symptoms include redness, itching, swelling, discharge, pain, and sensitivity to light."
" What are the symptoms of urinary tract infection?",symptom_check,"UTI symptoms include frequent urination, burning sensation while urinating, cloudy urine, strong-smelling urine, and lower abdominal pain."
" What are the warning signs of kidney stones?",symptom_check,"Kidney stone signs include severe pain in the back or side, blood in urine, nausea, vomiting, and frequent urination."
" How do I know if I have skin allergy?",symptom_check,"Skin allergy symptoms include itching, redness, rash, hives, or swelling at the affected area."
" What are the symptoms of low blood sugar?",symptom_check,"Low blood sugar symptoms include shakiness, sweating, confusion, dizziness, irritability, and rapid heartbeat."
" How do I recognize vitamin D deficiency?",symptom_check,"Vitamin D deficiency symptoms include bone pain, muscle weakness, fatigue, depression, and frequent infections."
" What are the symptoms of chickenpox in adults?",symptom_check,"Symptoms include itchy rash, red spots or blisters, fever, fatigue, and loss of appetite."
" How do I know if I have dengue hemorrhagic fever?",symptom_check,"Dengue hemorrhagic fever symptoms include high fever, severe bleeding, easy bruising, vomiting, abdominal pain, and shock in severe cases."
" What are the warning signs of lung cancer?",symptom_check,"Lung cancer warning signs include persistent cough, coughing up blood, chest pain, shortness of breath, fatigue, and unexplained weight loss."
" How do I recognize high cholesterol?",symptom_check,"High cholesterol usually has no symptoms, but can lead to chest pain, heart disease, or stroke over time."
" What are the early symptoms of HIV?",symptom_check,"Early HIV symptoms include fever, sore throat, fatigue, swollen lymph nodes, rash, and muscle aches."
" What are the symptoms of typhoid?",symptom_check,"Typhoid symptoms include prolonged fever, abdominal pain, headache, weakness, loss of appetite, and sometimes rash."
" How do I know if I have food allergy?",symptom_check,"Food allergy symptoms include hives, itching, swelling, nausea, vomiting, diarrhea, and in severe cases, difficulty breathing."
" What are the signs of scabies?",symptom_check,"Scabies signs include intense itching, especially at night, red rashes, and small blisters or bumps on the skin."
" What are the symptoms of heat stroke?",symptom_check,"Heat stroke symptoms include high body temperature, confusion, nausea, headache, rapid heartbeat, and sometimes loss of consciousness."
" How do I know if I have sinusitis?",symptom_check,"Sinusitis symptoms include facial pain, nasal congestion, runny nose, headache, fever, and thick nasal discharge."
" What are the signs of indigestion?",symptom_check,"Indigestion symptoms include bloating, nausea, burping, stomach discomfort, and feeling full quickly."
" What are the symptoms of stomach cancer?",symptom_check,"Stomach cancer symptoms include abdominal pain, bloating, nausea, loss of appetite, weight loss, and vomiting."
" How do I recognize chickenpox in children?",symptom_check,"Symptoms include itchy red spots or blisters, mild fever, fatigue, and loss of appetite."
" What are the symptoms of dengue in children?",symptom_check,"Dengue in children may cause high fever, rash, pain behind the eyes, vomiting, and fatigue."
" How do I know if I have mumps?",symptom_check,"Mumps symptoms include swollen and painful salivary glands, fever, headache, muscle aches, and fatigue."
" What are the warning signs of epilepsy?",symptom_check,"Epilepsy warning signs include repeated seizures, loss of consciousness, staring spells, and unusual sensations or movements."
" What are the symptoms of conjunctivitis?",symptom_check,"Conjunctivitis symptoms include red eyes, itching, discharge, tearing, and irritation or burning sensation."
" How do I know if I have fungal infection?",symptom_check,"Fungal infection symptoms include itching, redness, rash, peeling skin, and sometimes discharge or odor depending on the type."
" What are the early signs of skin cancer?",symptom_check,"Early skin cancer signs include new or changing moles, sores that do not heal, discoloration, and unusual growths on the skin."
" What are the symptoms of rheumatic fever?",symptom_check,"Rheumatic fever symptoms include fever, joint pain and swelling, heart inflammation, fatigue, and rash."
" How do I recognize heat exhaustion?",symptom_check,"Heat exhaustion symptoms include heavy sweating, weakness, cold and clammy skin, dizziness, nausea, and fainting."
" What are the symptoms of swine flu?",symptom_check,"Swine flu symptoms include fever, cough, sore throat, body aches, headache, chills, fatigue, and sometimes vomiting or diarrhea."
" How do I know if I have bronchial asthma?",symptom_check,"Bronchial asthma symptoms include wheezing, coughing, chest tightness, shortness of breath, and difficulty sleeping at night."
" What are the warning signs of liver disease?",symptom_check,"Liver disease warning signs include jaundice, fatigue, abdominal pain, swelling in legs, dark urine, and nausea."
" What are the symptoms of acid reflux?",symptom_check,"Acid reflux symptoms include heartburn, regurgitation of food or sour liquid, chest pain, difficulty swallowing, and chronic cough."
" How do I know if I have gallbladder infection?",symptom_check,"Gallbladder infection symptoms include severe abdominal pain, nausea, vomiting, fever, and sometimes jaundice."
" What are the signs of food intolerance?",symptom_check,"Food intolerance signs include bloating, diarrhea, gas, stomach cramps, and nausea after consuming certain foods."
" What are the early symptoms of dengue shock syndrome?",symptom_check,"Early signs include persistent vomiting, severe abdominal pain, rapid breathing, fatigue, and bleeding under the skin."
" What are the signs of dehydration in kids?",symptom_check,"Signs include dry mouth, few tears when crying, sunken eyes, lethargy, and infrequent urination."
" What are the symptoms of H1N1 flu?",symptom_check,"H1N1 flu symptoms include fever, cough, sore throat, runny nose, body aches, fatigue, and sometimes vomiting or diarrhea."
" How do I know if I have blood clot?",symptom_check,"Blood clot symptoms include swelling, pain, warmth, redness in the affected area, shortness of breath, and chest pain if it travels to the lungs."
" What are the warning signs of diabetes in children?",symptom_check,"Signs include frequent urination, excessive thirst, weight loss, fatigue, and mood changes."
" What are the symptoms of panic attacks?",symptom_check,"Panic attack symptoms include sudden intense fear, rapid heartbeat, shortness of breath, chest pain, dizziness, and sweating."
" How do I recognize low blood pressure?",symptom_check,"Low blood pressure symptoms include dizziness, fainting, blurred vision, fatigue, and nausea."
" What are the symptoms of pneumonia in elderly?",symptom_check,"Symptoms include cough, fever, shortness of breath, confusion, fatigue, and sometimes chest pain."
" How do I know if I have strep throat?",symptom_check,"Strep throat symptoms include sore throat, difficulty swallowing, fever, swollen lymph nodes, and white patches on tonsils."
" What are the signs of colon cancer?",symptom_check,"Colon cancer signs include changes in bowel habits, blood in stool, abdominal pain, fatigue, and unexplained weight loss."
" What are the symptoms of migraine in teenagers?",symptom_check,"Teen migraine symptoms include severe headache, sensitivity to light or sound, nausea, vomiting, and mood changes."
" What are the early symptoms of dengue in adults?",symptom_check,"Early adult dengue symptoms include sudden high fever, headache, pain behind the eyes, joint and muscle pain, rash, and fatigue."
" How do I recognize vitamin B12 deficiency?",symptom_check,"Vitamin B12 deficiency symptoms include fatigue, weakness, pale skin, tingling in hands or feet, and memory problems."
" What are the symptoms of chickenpox rash?",symptom_check,"Chickenpox rash symptoms include itchy red spots, small fluid-filled blisters, and scabbing over time."
" How do I know if I have ovarian cysts?",symptom_check,"Ovarian cyst symptoms include pelvic pain, bloating, irregular periods, pain during intercourse, and sometimes nausea or vomiting."
" What are the signs of prostate cancer?",symptom_check,"Prostate cancer signs include difficulty urinating, weak urine flow, blood in urine or semen, pelvic discomfort, and frequent urination at night."
" What are the symptoms of whooping cough?",symptom_check,"Whooping cough symptoms include severe coughing fits, vomiting after coughing, and a 'whooping' sound when inhaling."
" How do I recognize dengue complications?",symptom_check,"Complications may include severe bleeding, organ impairment, fluid accumulation, shock, persistent vomiting, and extreme fatigue."
" What are the early signs of kidney disease?",symptom_check,"Early signs include swelling in hands or feet, changes in urination, fatigue, nausea, and high blood pressure."
" What are the symptoms of hepatitis B?",symptom_check,"Hepatitis B symptoms include jaundice, fatigue, abdominal pain, dark urine, nausea, and loss of appetite."
" How do I know if I have lactose intolerance in babies?",symptom_check,"Symptoms include diarrhea, bloating, gas, fussiness, and crying after feeding on milk."
" What are the warning signs of brain tumor?",symptom_check,"Warning signs include persistent headaches, vision problems, nausea, balance issues, seizures, and personality changes."
" What are the symptoms of dengue headache?",symptom_check,"Dengue headache is usually severe and located behind the eyes, accompanied by fever, fatigue, and muscle pain."
" What are the symptoms of anemia?",symptom_check,"Anemia symptoms include fatigue, weakness, pale skin, shortness of breath, dizziness, and cold hands and feet."
" How do I recognize dengue rash?",symptom_check,"Dengue rash appears as red spots or patches, often spreading across the body, sometimes with itching."
" What are the signs of gallstones?",symptom_check,"Gallstones can cause sudden severe abdominal pain, nausea, vomiting, bloating, and sometimes jaundice."
" What are the early symptoms of meningitis?",symptom_check,"Early meningitis symptoms include fever, headache, stiff neck, nausea, vomiting, sensitivity to light, and confusion."
" How do I know if I have gastritis?",symptom_check,"Gastritis symptoms include upper abdominal pain, nausea, vomiting, bloating, loss of appetite, and indigestion."
" What are the warning signs of tuberculosis?",symptom_check,"TB warning signs include persistent cough, fever, night sweats, weight loss, fatigue, and coughing blood."
" What are the symptoms of hypothyroidism?",symptom_check,"Hypothyroidism symptoms include fatigue, weight gain, cold intolerance, dry skin, hair thinning, and constipation."
" How do I recognize high uric acid?",symptom_check,"High uric acid symptoms include joint pain, swelling, redness, especially in the big toe, and sometimes kidney stones."
" What are the signs of dengue in children?",symptom_check,"Children may show high fever, rash, vomiting, abdominal pain, fatigue, and sometimes bleeding."
" What are the symptoms of chronic kidney disease?",symptom_check,"Symptoms include fatigue, swelling in legs or ankles, changes in urination, nausea, loss of appetite, and high blood pressure."
" How do I know if I have dengue with bleeding?",symptom_check,"Symptoms include severe bleeding from gums, nose, or under the skin, persistent vomiting, abdominal pain, fatigue, and shock in severe cases."
" What are the early signs of bone cancer?",symptom_check,"Early bone cancer signs include persistent bone pain, swelling, fractures, fatigue, and unexplained weight loss."
" What are the symptoms of dengue with low platelets?",symptom_check,"Symptoms include easy bruising, bleeding gums, fatigue, high fever, and risk of dengue hemorrhagic fever."
" How do I recognize dengue in pregnant women?",symptom_check,"Pregnant women may experience high fever, severe body pain, fatigue, rash, bleeding, and need immediate medical attention."
" What are the warning signs of heart failure?",symptom_check,"Signs include shortness of breath, swelling in legs or abdomen, fatigue, rapid heartbeat, and persistent cough with white or pink blood-tinged mucus."
" What are the symptoms of dengue shock?",symptom_check,"Symptoms include severe abdominal pain, persistent vomiting, rapid breathing, bleeding, low blood pressure, and cold or clammy skin."
" How do I know if I have dengue or flu?",symptom_check,"Dengue often has severe joint/muscle pain, rash, and mild bleeding, while flu usually has respiratory symptoms like cough, sore throat, and runny nose."
" What are the signs of dengue eye pain?",symptom_check,"Pain behind the eyes, redness, headache, fever, and fatigue are common in dengue."
" What are the symptoms of dengue joint pain?",symptom_check,"Severe muscle and joint pain, fever, headache, and fatigue are typical signs."
" How do I recognize dengue muscle pain?",symptom_check,"Muscle pain is intense, along with high fever, headache, and fatigue."
" What are the early symptoms of multiple sclerosis?",symptom_check,"Early symptoms include numbness or tingling, vision problems, balance issues, fatigue, and muscle weakness."
" What are the symptoms of dengue fatigue?",symptom_check,"Fatigue and weakness are common, often accompanied by fever, headache, and body pain."
" How do I know if I have dengue fever or malaria?",symptom_check,"Dengue often has rash, severe muscle/joint pain, and mild bleeding, while malaria causes recurring chills, sweats, and anemia."
" What are the warning signs of cervical cancer?",symptom_check,"Signs include abnormal vaginal bleeding, pelvic pain, unusual discharge, pain during intercourse, and persistent fatigue."
" What are the symptoms of dengue with vomiting?",symptom_check,"Persistent vomiting along with high fever, abdominal pain, and fatigue may indicate severe dengue."
" How do I recognize dengue with dehydration?",symptom_check,"Signs include dry mouth, low urine output, dizziness, rapid heartbeat, and fatigue."
" What are the signs of dengue with abdominal pain?",symptom_check,"Severe abdominal pain, persistent vomiting, fatigue, and bleeding are concerning signs."
" What are the symptoms of dengue hemorrhage?",symptom_check,"Severe bleeding from gums, nose, or under the skin, along with shock and low blood pressure."
" How do I know if I have dengue or typhoid?",symptom_check,"Dengue has joint/muscle pain, rash, and mild bleeding; typhoid causes sustained fever, abdominal pain, diarrhea, and coated tongue."
" What are the early signs of appendicitis?",symptom_check,"Early signs include abdominal pain near the belly button, nausea, loss of appetite, and mild fever."
" What are the symptoms of dengue with chills?",symptom_check,"High fever with chills, headache, muscle/joint pain, vomiting, and fatigue are common."
" How do I recognize dengue with skin rash?",symptom_check,"Red spots or patches on the skin, often itchy, appearing with fever and fatigue."
" What are the warning signs of dengue in adults?",symptom_check,"Warning signs include persistent vomiting, severe abdominal pain, bleeding, fatigue, rapid breathing, and low blood pressure."
" What are the symptoms of dengue with nausea?",symptom_check,"Nausea with high fever, headache, muscle/joint pain, rash, and fatigue may indicate dengue."
" How do I know if I have dengue headache?",symptom_check,"Severe headache, especially behind the eyes, along with fever, joint pain, and fatigue."
" What are the signs of dengue with high fever?",symptom_check,"Sudden high fever with chills, headache, body/joint pain, rash, and fatigue."
" What are the symptoms of dengue with weakness?",symptom_check,"Extreme fatigue, weakness, dizziness, and difficulty performing daily activities."
" How do I recognize dengue with eye redness?",symptom_check,"Redness of the eyes, pain behind the eyes, headache, and fever are common signs."
" What are the early symptoms of dengue in kids?",symptom_check,"High fever, rash, vomiting, abdominal pain, fatigue, and sometimes mild bleeding."
" What are the symptoms of dengue with bleeding gums?",symptom_check,"Bleeding gums, nosebleeds, fatigue, vomiting, abdominal pain, and high fever."
" How do I know if I have dengue back pain?",symptom_check,"Severe back or muscle pain, fever, headache, and fatigue are common symptoms."
" What are the warning signs of dengue in elderly?",symptom_check,"Warning signs include severe bleeding, persistent vomiting, confusion, abdominal pain, and fatigue."
" What are the symptoms of dengue with loss of appetite?",symptom_check,"Loss of appetite, fatigue, fever, headache, and muscle/joint pain."
" How do I recognize dengue with diarrhea?",symptom_check,"Diarrhea with high fever, headache, muscle/joint pain, fatigue, and sometimes mild bleeding."
" What are the signs of dengue with headache and fever?",symptom_check,"Severe headache with high fever, joint/muscle pain, fatigue, and rash."
" What are the symptoms of dengue with low energy?",symptom_check,"Extreme fatigue and weakness, along with fever, headache, and muscle/joint pain."
" How do I know if I have dengue nosebleeds?",symptom_check,"Frequent or unexplained nosebleeds along with high fever, headache, and fatigue."
" What are the early signs of dengue in teenagers?",symptom_check,"High fever, headache, muscle/joint pain, rash, nausea, and fatigue."
" What are the symptoms of dengue with severe stomach pain?",symptom_check,"Severe abdominal pain, persistent vomiting, fatigue, bleeding, and high fever indicate possible severe dengue."
" How do I recognize dengue with persistent vomiting?",symptom_check,"Persistent vomiting along with fever, abdominal pain, fatigue, and bleeding requires immediate attention."
"How should I treat a sprained ankle?",injury_and_care,"Rest, ice, compress with a bandage, and elevate the ankle (RICE method). Seek medical attention if severe."
"What’s the best way to clean a cut?",injury_and_care,"Wash the cut gently with soap and water, then apply an antiseptic and cover with a clean bandage."
"How do I take care of a burn?",injury_and_care,"Cool the burn under running water for 10–20 minutes, cover with a sterile dressing, and avoid breaking blisters."
"What to do if I get a nosebleed?",injury_and_care,"Sit upright, lean forward, pinch the soft part of your nose for 10–15 minutes, and avoid tilting your head back."
"How can I stop bleeding from a small wound?",injury_and_care,"Apply gentle pressure with a clean cloth, clean the wound, and cover with a bandage."
"What’s the first aid for a broken finger?",injury_and_care,"Immobilize the finger with a splint or tape, apply ice, and see a doctor for proper assessment."
"How do I treat a blister on my foot?",injury_and_care,"Keep it clean, avoid popping it, cover with a sterile dressing, and reduce friction on the area."
"What should I do if I twist my knee?",injury_and_care,"Rest, apply ice, compress with a bandage, and elevate your leg. See a doctor if severe pain or swelling occurs."
"How do you handle a bee sting?",injury_and_care,"Remove the stinger carefully, wash the area, apply ice, and use an antihistamine if needed."
"What’s the right way to bandage a cut?",injury_and_care,"Clean the wound, apply antiseptic, place a sterile dressing, and wrap gently but securely."
"How can I reduce swelling after an injury?",injury_and_care,"Use ice packs for 15–20 minutes every few hours, elevate the area, and rest."
"What should I do for a mild concussion?",injury_and_care,"Rest, avoid screens and physical activity, monitor symptoms, and seek medical attention if symptoms worsen."
"How do I treat a bruise quickly?",injury_and_care,"Apply ice packs for 15–20 minutes, elevate if possible, and rest the affected area."
"What’s the first step after getting burned?",injury_and_care,"Cool the burn under running water immediately and remove any tight clothing or jewelry from the area."
"How do I handle a sprained wrist?",injury_and_care,"Rest the wrist, apply ice, use a compression bandage, elevate, and consider a wrist brace."
"What to do if I get a deep cut?",injury_and_care,"Apply pressure to stop bleeding, clean the wound, cover it, and seek medical attention for stitches."
"How can I clean a scrape safely?",injury_and_care,"Wash gently with soap and water, apply antiseptic, and cover with a sterile bandage."
"What’s the best way to apply ice to an injury?",injury_and_care,"Wrap ice in a cloth, apply for 15–20 minutes, and repeat every few hours while avoiding direct skin contact."
"How do I know if I need stitches?",injury_and_care,"Deep, gaping, or bleeding wounds that don’t stop with pressure usually need stitches. See a doctor."
"What should I do for a jammed finger?",injury_and_care,"Rest, ice, compress, elevate, and gently move the finger if not painful. Seek medical advice if swelling or deformity occurs."
"How can I relieve pain from a muscle strain?",injury_and_care,"Rest, apply ice, use compression, elevate, and consider over-the-counter pain relief."
"How do I treat a paper cut?",injury_and_care,"Clean with soap and water, apply antiseptic, and cover with a small bandage."
"What to do if I step on glass?",injury_and_care,"Remove any visible pieces, wash thoroughly, apply antiseptic, and seek medical help for deep cuts."
"How should I treat sunburn?",injury_and_care,"Cool the skin with cold water, apply aloe vera or moisturizer, stay hydrated, and avoid further sun exposure."
"What’s the right way to elevate an injured leg?",injury_and_care,"Lie down and raise the leg above heart level using pillows to reduce swelling."
"How do I care for a sprained shoulder?",injury_and_care,"Rest, ice, compress with a bandage or sling, elevate if possible, and seek medical assessment if severe."
"What should I do after hitting my head?",injury_and_care,"Rest, monitor for dizziness, nausea, confusion, or vision problems, and seek medical attention if symptoms worsen."
"How do I stop nosebleeds quickly?",injury_and_care,"Pinch the soft part of the nose for 10–15 minutes while leaning forward and avoid tilting your head back."
"What’s the first aid for a sprained toe?",injury_and_care,"Rest, ice, compress with a bandage or tape, elevate, and avoid putting weight on the toe."
"How can I treat minor burns at home?",injury_and_care,"Cool under running water, cover with sterile dressing, and take pain relief if needed."
"What should I do for a pulled muscle?",injury_and_care,"Rest, apply ice, compress with a bandage, elevate if possible, and gently stretch after a day or two."
"How do I handle a swollen ankle?",injury_and_care,"Use RICE: rest, ice, compression, elevation, and consider a supportive brace."
"What’s the right way to treat frostbite?",injury_and_care,"Warm the affected area slowly using lukewarm water, avoid rubbing, and seek medical attention."
"How should I clean and cover a wound?",injury_and_care,"Wash with soap and water, apply antiseptic, and cover with a clean, sterile bandage."
"What to do for a dislocated shoulder?",injury_and_care,"Immobilize with a sling, apply ice, and seek immediate medical attention. Do not attempt to relocate it yourself."
"How do I treat insect bites?",injury_and_care,"Clean the area, apply ice or a cold compress, and use antihistamine or anti-itch cream if needed."
"What’s the best way to deal with a black eye?",injury_and_care,"Apply a cold compress for 15–20 minutes, avoid pressure, and monitor for vision changes."
"How do I care for a sprained foot?",injury_and_care,"Rest, ice, compress, elevate, and avoid putting weight on it. Seek medical advice if severe."
"What should I do after twisting my back?",injury_and_care,"Rest, apply ice, take over-the-counter pain relief, and avoid heavy lifting. See a doctor if pain persists."
"How do I handle a bleeding finger?",injury_and_care,"Apply pressure, clean the wound, cover with a bandage, and seek medical help if bleeding persists."
"What’s the treatment for mild burns?",injury_and_care,"Cool the burn, apply sterile dressing, and use pain relief or aloe vera. Avoid breaking blisters."
"How do I reduce pain from a sore muscle?",injury_and_care,"Rest, gentle stretching, ice or heat, and over-the-counter pain relief if needed."
"What’s the right way to wrap a bandage?",injury_and_care,"Wrap snugly but not too tight, covering the wound completely, and secure the end without cutting off circulation."
"How do I care for a bruised rib?",injury_and_care,"Rest, apply ice, avoid heavy lifting or twisting, and take pain relief if needed."
"What should I do for a stubbed toe?",injury_and_care,"Ice the toe, rest, elevate, and consider buddy taping it to the adjacent toe."
"How can I stop swelling in my knee?",injury_and_care,"Use RICE: rest, ice, compression, and elevation. Seek medical advice if swelling persists."
"What’s the first step after a fall?",injury_and_care,"Check for injuries, apply first aid if needed, and seek medical attention for head, back, or joint injuries."
"How do I treat road rash?",injury_and_care,"Clean thoroughly with soap and water, remove debris, apply antiseptic, and cover with a sterile dressing."
"How should I clean road rash?",injury_and_care,"Wash with soap and water, remove dirt, apply antiseptic, and cover with a sterile bandage."
"How do I take care of a swollen wrist?",injury_and_care,"Rest, ice, compress, elevate, and use a wrist brace if needed."
"What should I do for a twisted ankle?",injury_and_care,"Follow RICE: rest, ice, compression, elevation, and consider supportive footwear or brace."
"How can I treat scratches from a cat?",injury_and_care,"Wash thoroughly with soap and water, apply antiseptic, and cover. Watch for infection and seek medical advice if needed."
"What’s the right way to treat a sprain?",injury_and_care,"Use RICE: rest, ice, compression, elevation, and consult a doctor if severe."
"How do I stop a cut from bleeding?",injury_and_care,"Apply firm pressure with a clean cloth or bandage until bleeding stops."
" What should I do after a minor fall?",injury_and_care,"Check for injuries, apply ice to bumps or bruises, and rest if needed."
"How do I treat a mild head bump?",injury_and_care,"Apply a cold compress, monitor for dizziness, nausea, or confusion, and seek medical help if symptoms worsen."
" What’s the best way to clean a blister?",injury_and_care,"Wash gently, avoid popping, and cover with a sterile bandage to prevent infection."
"How do I handle an insect sting?",injury_and_care,"Remove the stinger if present, wash the area, apply ice, and use antihistamine for itching."
" What should I do for a jammed toe?",injury_and_care,"Rest, ice, compress, elevate, and consider buddy taping. See a doctor if pain persists."
" How do I treat a sore back muscle?",injury_and_care,"Rest, gentle stretching, ice or heat, and over-the-counter pain relief as needed."
" What’s the right way to apply an ice pack?",injury_and_care,"Wrap ice in a cloth and apply for 15–20 minutes. Repeat every few hours, avoiding direct skin contact."
" How can I care for a bruised arm?",injury_and_care,"Apply ice, rest, and elevate the arm. Pain relief can be taken if needed."
" What should I do after spraining my wrist?",injury_and_care,"Use RICE, immobilize if necessary, and see a doctor if severe pain or swelling occurs."
" How do I handle a burn from hot water?",injury_and_care,"Cool under running water for 10–20 minutes, cover with sterile dressing, and avoid breaking blisters."
" What’s the first aid for a sprained knee?",injury_and_care,"Rest, ice, compress, elevate, and seek medical advice if severe or persistent pain."
" How can I reduce swelling after a sprain?",injury_and_care,"Apply ice, compress the area, elevate, and rest the injured part."
" What should I do for a small burn blister?",injury_and_care,"Do not pop it, cool the area, and cover with sterile dressing to prevent infection."
" How do I treat a minor fracture?",injury_and_care,"Immobilize the area, apply ice, and seek medical attention for proper diagnosis and splinting."
" What’s the best way to relieve a muscle cramp?",injury_and_care,"Stretch the muscle gently, massage, hydrate, and apply heat if needed."
" How can I stop a small cut from hurting?",injury_and_care,"Clean it, apply antiseptic, and cover with a bandage. Pain usually subsides quickly."
" What should I do after stubbing my finger?",injury_and_care,"Ice, rest, elevate, and use pain relief if needed. Seek help if deformity occurs."
" How do I treat a small bruise?",injury_and_care,"Apply ice for 15–20 minutes, elevate if possible, and rest the area."
" What’s the proper way to wrap a sprain?",injury_and_care,"Use an elastic bandage, wrap snugly without cutting off circulation, and secure the end."
" How do I take care of a bleeding nose?",injury_and_care,"Sit upright, lean forward, pinch the soft part of the nose for 10–15 minutes, and avoid tilting back."
" What should I do after fainting?",injury_and_care,"Lie down, elevate your legs, rest, and seek medical advice if fainting recurs."
" How do I treat a cut on my hand?",injury_and_care,"Clean with soap and water, apply antiseptic, and cover with a sterile bandage."
" What’s the right way to care for a scrape?",injury_and_care,"Wash gently, apply antiseptic, and cover with a clean bandage."
" How do I relieve pain from a bruise?",injury_and_care,"Apply ice, elevate if possible, and rest the affected area."
" What should I do for a twisted wrist?",injury_and_care,"Rest, ice, compress, elevate, and immobilize with a brace if needed."
" How can I treat swelling after a fall?",injury_and_care,"Apply ice, compress, elevate, and rest the injured area."
" What’s the best way to ice an injury?",injury_and_care,"Wrap ice in a cloth, apply for 15–20 minutes, and repeat every few hours."
" How do I clean a wound properly?",injury_and_care,"Wash with soap and water, remove debris, apply antiseptic, and cover with sterile dressing."
" What should I do after cutting my finger?",injury_and_care,"Apply pressure, clean the cut, cover with a bandage, and monitor for infection."
"How do I handle a sprained elbow?",injury_and_care,"Rest the elbow, apply ice, compress with a bandage, elevate, and use a sling if needed."
"What’s the treatment for a swollen knee?",injury_and_care,"Use RICE: rest, ice, compression, elevation, and see a doctor if swelling persists."
"How can I treat minor frostbite?",injury_and_care,"Warm the affected area gradually using lukewarm water, avoid rubbing, and seek medical help if severe."
"What should I do for a muscle pull?",injury_and_care,"Rest the muscle, apply ice, compress lightly, elevate if possible, and gently stretch after a day or two."
"How do I relieve pain from a twisted ankle?",injury_and_care,"Rest, ice, compress, elevate, and use pain relief if necessary."
"What’s the first aid for a jammed thumb?",injury_and_care,"Immobilize with a splint, ice, rest, and seek medical evaluation if pain or swelling is severe."
"How do I handle a small burn at home?",injury_and_care,"Cool under running water, apply sterile dressing, and avoid popping any blisters."
"What should I do after hitting my arm?",injury_and_care,"Apply ice, rest, elevate if possible, and take pain relief if needed."
"How do I treat a bruised leg?",injury_and_care,"Apply ice for 15–20 minutes, elevate, and rest the leg. Use pain relief if needed."
"What’s the right way to clean a scrape?",injury_and_care,"Wash gently with soap and water, remove debris, apply antiseptic, and cover with a sterile bandage."
"How do I stop swelling in my hand?",injury_and_care,"Apply ice, elevate the hand, use compression if needed, and rest."
"What should I do for a twisted back?",injury_and_care,"Rest, apply ice or heat, avoid heavy lifting, and take pain relief if needed."
"How can I treat scratches on my skin?",injury_and_care,"Clean with soap and water, apply antiseptic, and cover with a clean bandage if necessary."
"What’s the best way to handle a sprain?",injury_and_care,"Use RICE: rest, ice, compression, elevation, and consult a doctor if severe."
"How do I treat a swollen lip after an injury?",injury_and_care,"Apply ice, avoid pressing, and monitor for cuts or bleeding. Seek medical care if severe."
